Código do Município	2008	2009	2010	2011	2012	2013	2014
1100015	302620469	305787952	335699677	348804371	383885476	340407000	379060308
1100023	1015962292	1041016954	1293582981	1561170194	1537869867	1778919000	1967587044
1100031	85718948	104587877	99413204	117396029	162481926	96308000	113031481
1100049	932122389	908920362	1168598490	1274121391	1324657401	1415053000	1695899981
1100056	200670062	237950838	272455593	336194421	443765180	341314000	326765671
1100064	184106028	212200949	226199733	238810781	255338915	242168000	275185120
1100072	138367635	192822294	195072804	261379437	319419655	168680000	188217619
1100080	103993000	120084640	135446440	150581945	166583937	149648000	171877968
1100098	299734349	319670909	366780750	425903197	398482670	421711000	498358098
1100106	547282660	489996212	650329204	820547724	786513751	767600000	667538864
1100114	656070493	650282288	794618798	887754818	952525456	1063162000	1131276487
1100122	1373756383	1401633253	1686534884	1955381891	2043808532	2322850000	2684653468
1100130	299082110	303829484	318433808	356438754	440390432	397088000	432405715
1100148	180776130	163267486	194346528	209175662	225305084	229122000	251677315
1100155	380140713	406869770	472401881	493593903	515057288	553230000	609267754
1100189	424911374	513645066	688399537	810004948	683814361	767795000	852454998
1100205	5066906445	6606568141	7520522029	9518428446	9775427443	11464619000	12609917950
1100254	219707887	245864277	269390238	295099622	308149564	292767000	337608214
1100262	56089646	89961665	72340333	72063883	95149173	63428000	76854465
1100288	542875940	520171948	615911676	774911805	810558674	920736000	1015123569
1100296	110155301	114678678	117353842	165455538	176775955	126269000	135933847
1100304	1114699142	1187863684	1415471915	1522776457	1879426982	1974911000	2168425748
1100320	228143354	283647307	393259298	394961169	393626527	395297000	434497079
1100338	195570282	226468510	256071091	290371428	321466639	307892000	335448468
1100346	149718093	159432087	179298838	193713166	215906201	191275000	204097798
1100379	142176180	160810819	159055452	176030816	208389432	182830000	213409561
1100403	163474223	179122719	201629951	230917016	233099757	213812000	235981217
1100452	303120279	326377445	370021060	424991725	443810940	426171000	481266414
1100502	105427240	113299531	119112502	124714748	126715324	113211000	129398855
1100601	94530542	102535191	118347001	122879615	135628061	98910000	116635085
1100700	116423012	132700150	152797249	183622798	200668400	179620000	208820996
1100809	185031872	231935860	262651669	337056288	355883423	327835000	324943235
1100908	52670839	53639788	57002219	59820250	65010974	53276000	59778810
1100924	163804862	184107761	240151567	276949408	349837558	225640000	190330689
1100940	130151847	193676238	199953623	210530859	221181288	249192000	248242656
1101005	113950271	123577340	136405246	153632110	155998757	140576000	148027039
1101104	80281932	84788694	94129358	122260390	124869009	293061000	129350568
1101203	105843717	96872802	125884195	145609347	147684231	144543000	174633347
1101302	112566239	120018397	133178579	145790820	153844644	134213000	163954669
1101401	135820534	145346282	173061541	195723518	215328440	205034000	219152207
1101435	66532564	69917753	76734496	85216623	94033559	86797000	92346367
1101450	56453501	83718302	82169697	123197978	87169724	71151000	80758746
1101468	59372232	68970064	89196873	134038610	181705824	77851000	76755874
1101476	41071476	45556503	45662515	48844246	53754494	47820000	52908266
1101484	69879442	71727098	75102269	83267236	86770950	70915000	72083957
1101492	177032181	204614709	221545242	239983719	265727741	245293000	272826371
1101500	120677996	130276216	146191668	162438199	167639359	157229000	169428701
1101559	50934673	54473657	60477725	66868005	72217056	67740000	72089416
1101609	122572639	128048731	139709878	134191461	159078001	128207000	140600852
1101708	112245512	119754748	131845313	146353342	151790041	150674000	172143082
1101757	97326323	114100288	113399426	124361789	179524876	99745000	105207770
1101807	99245926	89003985	97293838	104812252	108186879	108168000	116742193
1200013	146133081	151161146	187606304	191116499	231526494	214555000	204877976
1200054	54411595	48368735	54682472	60785698	67699536	64537000	72613394
1200104	174844493	195057386	228402959	245534123	267230264	295430000	341511517
1200138	106144496	88729150	138140656	166501218	182066831	120210000	129281297
1200179	82582078	89082383	136883797	154444212	200730653	158748000	149441171
1200203	593954747	684493693	835091724	832605462	859430486	974478000	1153033925
1200252	128040051	129696425	150050168	162743775	176782882	267957000	256048032
