Código do Município	2011	2012	2013	2014	2015
1100015	24228	24069	25728	25652	25578
1100023	91570	92747	101269	102860	104401
1100031	6221	6132	6495	6424	6355
1100049	78958	79330	85863	86556	87226
1100056	16939	16852	18041	18013	17986
1100064	18338	18093	19190	19001	18817
1100072	8654	8530	9036	8938	8842
1100080	14022	14355	15853	16258	16651
1100098	28962	29189	31699	32047	32385
1100106	41933	42202	45761	46203	46632
1100114	51883	51765	55597	55669	55738
1100122	117363	118092	128026	129242	130419
1100130	31779	32403	35633	36412	37167
1100148	19882	19891	21427	21511	21592
1100155	37701	37482	40099	40010	39924
1100189	33981	34135	36939	37230	37512
1100205	435732	442701	484992	494013	502748
1100254	22008	21709	23017	22783	22557
1100262	3345	3374	3666	3709	3750
1100288	50899	51142	55357	55807	56242
1100296	8677	8476	8887	8706	8532
1100304	77937	79616	87727	89797	91801
1100320	21878	21927	23668	23803	23933
1100338	23142	23719	26227	26925	27600
1100346	16624	16404	17399	17228	17063
1100379	12824	12833	13827	13884	13940
1100403	17443	17742	19459	19841	20210
1100452	32898	33397	36555	37207	37838
1100502	10084	9933	10515	10393	10276
1100601	5764	5791	6268	6318	6367
1100700	12757	12847	13939	14081	14220
1100809	20291	20787	22973	23573	24155
1100908	3526	3479	3689	3653	3617
1100924	8514	8721	9636	9887	10129
1100940	16569	17262	19410	20204	20974
1101005	10272	10040	10534	10327	10127
1101104	8700	8830	9661	9831	9995
1101203	10276	10203	10899	10860	10823
1101302	11780	11686	12469	12414	12360
1101401	14203	14313	15541	15710	15873
1101435	7436	7382	7883	7853	7824
1101450	4901	4990	5477	5589	5697
1101468	2299	2283	2440	2432	2424
1101476	3464	3406	3597	3548	3501
1101484	5938	5862	6219	6160	6103
1101492	16340	16636	18265	18640	19002
1101500	11624	11619	12505	12543	12581
1101559	4832	4778	5080	5041	5003
1101609	10611	10575	11343	11345	11347
1101708	12828	12687	13491	13391	13293
1101757	9510	9633	10518	10682	10843
1101807	8083	7961	8425	8327	8231
1200013	12778	13011	13353	13613	13869
1200054	6192	6308	6480	6610	6738
1200104	21837	22261	22899	23378	23849
1200138	8629	8782	9003	9173	9339
1200179	9087	9368	9836	10170	10498
1200203	79173	79819	80377	80953	81519
1200252	15394	15679	16099	16417	16731
1200302	32487	32560	32411	32398	32385
1200328	6740	6898	7147	7330	7509
1200336	15553	15890	16410	16795	17173
1200344	8104	8224	8386	8514	8641
1200351	14682	15123	15857	16380	16895
1200385	17401	17587	17795	17979	18159
1200393	9448	9711	10143	10453	10759
1200401	342298	348354	357194	363928	370550
1200427	14832	15260	15968	16475	16974
1200435	4879	5061	5374	5593	5809
1200450	20386	20588	20799	20992	21182
1200500	38708	39366	40311	41036	41750
1200609	36186	36763	37571	38201	38819
1200708	16369	16639	17021	17317	17608
1200807	15212	15534	16029	16396	16757
1300029	14237	14381	15166	15357	15545
1300060	9633	9794	10436	10644	10847
1300086	10494	10766	11636	11981	12320
1300102	16701	17072	18351	18826	19292
1300144	18325	18633	19860	20258	20648
1300201	15545	15924	17174	17658	18133
1300300	32733	33312	35554	36301	37033
1300409	25835	25948	27110	27273	27433
1300508	27722	28077	29737	30202	30658
1300607	34193	34950	37564	38533	39484
1300631	15827	16158	17332	17755	18171
1300680	15324	15659	16820	17248	17668
1300706	30906	31171	32792	33148	33498
1300805	35448	35919	38073	38688	39292
1300839	11142	11303	12004	12214	12420
