Código do Município	2009	2010	2011	2012	2013	2014
1100015	892.92	998.03	1122.35	1196.18	1125.91	1409.42
1100023	1011.48	1121.92	1232.81	1278.16	1423.20	1490.65
1100031	905.65	971.17	1086.92	1183.74	1258.31	1285.64
1100049	1016.64	1094.86	1255.51	1599.84	1494.76	1533.24
1100056	909.28	951.82	1057.99	1200.41	1399.36	1456.51
1100064	979.54	914.90	992.16	1058.23	1213.95	1305.01
1100072	907.44	989.29	1145.49	1182.00	1314.74	1430.71
1100080	870.50	826.84	1268.53	1098.64	1185.99	1333.96
1100098	883.74	1029.49	1081.98	1197.75	1280.77	1378.26
1100106	1062.93	1180.31	1218.17	1374.49	1419.74	1505.42
1100114	921.01	975.51	1115.57	1211.87	1369.84	1499.50
1100122	962.96	1076.03	1152.85	1322.61	1421.21	1530.10
1100130	973.76	966.72	1231.59	1187.01	1272.57	1438.86
1100148	918.54	998.11	1059.40	1158.04	1226.81	1393.67
1100155	791.10	920.82	913.52	1200.07	1348.22	1385.83
1100189	878.05	904.10	1035.26	1161.09	1321.73	1421.54
1100205	1801.48	1984.30	2150.05	2257.99	2461.27	2672.87
1100254	859.65	971.62	1044.63	1203.66	1257.30	1351.03
1100262	841.18	989.68	1145.89	1160.58	1299.34	1455.64
1100288	895.20	1004.93	1076.33	1095.12	1262.75	1348.23
1100296	874.90	971.38	1069.38	1157.18	1280.88	1360.83
1100304	1105.94	1204.52	1518.10	1366.00	1505.17	1613.40
1100320	976.79	1051.31	1032.88	1018.91	1340.83	1457.69
1100338	894.26	938.93	1050.34	1043.77	1126.82	1250.53
1100346	741.20	762.42	1120.15	923.53	1039.54	1095.55
1100379	860.96	985.78	1019.60	1120.84	1179.77	1359.92
1100403	1009.45	973.07	1086.48	1176.37	1288.63	1447.94
1100452	832.65	1011.61	1072.46	1132.04	1230.00	1377.67
1100502	778.43	883.10	1037.75	1011.40	1050.33	1224.81
1100601	864.90	1098.13	1160.40	1111.00	1541.43	1828.32
1100700	1062.63	1231.47	1492.84	1421.68	1445.26	1741.99
1100809	932.15	1000.10	1043.41	1279.21	1393.37	1513.50
1100908	800.98	822.02	916.52	1155.57	1344.77	1365.72
1100924	982.23	1273.47	1288.07	1205.61	1512.33	1693.04
1100940	1232.04	1091.46	1196.88	1184.14	1326.39	1461.58
1101005	1003.50	1093.01	1155.60	1282.54	1342.37	1409.49
1101104	924.06	1000.81	1159.84	1353.59	1384.49	1486.24
1101203	1012.97	1143.35	1314.99	1195.61	1347.73	1502.62
1101302	866.57	868.76	1062.25	1040.94	1042.03	1153.45
1101401	821.36	863.13	976.42	1147.06	1202.64	1256.71
1101435	971.17	1007.66	1605.60	983.70	1210.55	1170.14
1101450	1002.49	1209.91	1428.49	1106.20	1349.79	1495.75
1101468	972.05	1049.08	1116.30	1188.26	1435.81	1465.25
1101476	718.14	835.22	1035.57	957.08	1187.26	1179.28
1101484	984.37	955.33	1343.81	1218.12	1164.95	1337.05
1101492	976.15	886.24	993.62	1030.78	1197.01	1298.10
1101500	1249.88	1180.50	1291.58	1099.51	1244.35	1400.62
1101559	912.22	895.32	1154.50	1110.13	1176.92	1317.20
1101609	789.88	1311.86	1183.06	1306.03	1217.72	1847.87
1101708	982.12	1160.32	1382.92	1250.14	1396.33	1472.97
1101757	842.27	914.37	977.36	1109.75	1196.76	1447.53
1101807	837.20	949.82	1055.39	1117.21	1187.47	1393.78
1200013	876.19	1003.03	839.24	1273.41	1408.56	1443.02
1200054	992.08	1137.19	1376.82	1553.90	1451.22	1814.70
1200104	776.91	823.04	951.42	1211.20	1206.33	1244.43
1200138	806.40	900.87	1079.51	1106.14	1174.19	1227.28
1200179	864.53	926.08	1064.41	1224.81	1414.50	1485.22
1200203	846.44	954.96	1033.61	1161.69	1304.34	1344.47
1200252	788.49	884.71	993.53	1103.96	1173.01	1224.48
1200302	972.00	1116.96	1142.82	1303.96	1307.20	1371.53
1200328	860.30	737.32	964.35	1064.39	1475.60	1230.98
1200336	931.17	1111.00	1244.30	1476.75	1466.54	1484.24
1200344	1121.56	964.17	1334.37	1412.59	1362.83	1516.43
1200351	888.07	950.19	932.22	969.49	1190.33	1154.34
1200385	952.24	1035.46	1146.69	1249.66	1274.77	1307.09
1200393	798.93	801.00	868.72	1086.91	1033.06	1167.08
1200401	1670.59	1823.59	1995.30	2204.73	2281.15	2556.26
1200427	812.44	951.15	1030.33	1134.70	1221.32	1492.84
1200435	1239.87	1277.24	39.57	1532.68	1481.71	1470.01
1200450	794.60	840.47	986.43	1135.26	1303.12	1435.61
1200500	1110.34	1185.87	1170.43	1366.36	1315.17	1442.28
1200609	809.05	1090.14	926.20	1305.81	1292.59	1454.84
1200708	832.98	928.48	995.86	1155.68	1261.03	1351.63
1200807	958.97	948.66	1159.52	945.61	1396.28	1179.12
1300029	730.98	1613.32	957.39	900.88	844.15	1208.58
1300060	966.55	1061.20	953.70	1157.37	1233.15	1258.73
1300086	750.58	759.51	1002.70	983.37	1106.90	1187.32
1300102	879.14	992.82	1143.15	1070.59	1394.50	1419.97
1300144	837.38	1077.06	1085.43	950.45	1022.90	1390.09
1300201	774.94	868.30	719.86	705.73	1143.00	1173.99
1300300	838.00	1072.50	888.97	1135.22	1252.33	1365.20
1300409	613.88	838.77	797.15	938.00	1048.26	1160.73
1300508	798.21	943.18	1048.37	1112.34	1126.78	1324.47
1300607	868.88	969.86	1003.56	1073.76	1166.27	1183.04
1300631	959.65	1667.02	2440.92	2506.99	1124.38	2915.58
1300680	796.37	784.09	869.94	132.21	1002.69	1040.70
1300706	805.33	874.76	945.23	1086.33	1053.43	1125.75
1300805	831.90	818.86	1022.51	1112.03	1173.51	1264.46
1300839	683.55	760.47	920.97	832.32	966.94	1008.19
1300904	1535.69	3018.56	2120.75	1209.67	1315.29	1406.24
1301001	940.69	1031.20	1108.81	1236.98	1455.53	1502.85
1301100	900.93	942.39	1147.78	1231.90	1323.07	1518.72
1301159	674.42	823.22	983.38	981.79	1169.81	1239.17
1301209	3666.21	3415.21	2416.44	6112.47	3340.32	2902.07
1301308	775.36	857.89	872.10	944.64	1035.25	1300.69
1301407	602.41	652.70	690.18	761.05	837.25	932.78
1301506	747.12	939.73	995.32	923.93	1683.35	1267.71
1301605	1837.33	796.56	2991.99	948.55	1004.91	1240.11
1301654	662.71	821.42	890.60	928.33	973.98	1104.32
1301704	813.87	942.46	1014.93	1102.56	1281.80	1373.35
1301803	765.11	914.99	968.29	1230.84	1325.00	1301.60
1301852	706.75	758.25	981.36	1039.09	1178.81	1293.63
1301902	975.05	1106.60	1160.69	1309.92	895.10	1384.97
1301951	780.21	890.37	865.10	974.54	1115.47	1116.23
1302009	669.06	1496.56	1776.21	2232.42	999.25	1181.48
1302108	568.74	838.65	986.65	1164.68	1903.72	948.89
1302207	772.82	901.62	945.07	1016.19	1195.89	1254.42
1302306	1143.72	1741.15	1053.56	105.58	1467.27	990.04
1302405	784.45	958.89	1037.47	997.11	1316.15	1389.81
